EntrezGeneID,logFC,logCPM,PValue,FDR
211577,-5.148745515947253,2.7430122626520377,6.594301871776919e-13,1.0421634678156243e-08
12992,-6.086162481208501,10.182642199878128,8.457874632177219e-11,6.250862273072371e-07
140474,7.17430832316871,6.051048880522273,1.5257157764964816e-10,6.250862273072371e-07
21953,-5.756249034945838,3.857316589503653,1.5820962472974872e-10,6.250862273072371e-07
14621,4.53950910677096,5.537239010735385,6.776086054269775e-10,2.0499962284457597e-06
12740,5.32030780904625,9.866765225775508,8.685744993771525e-10,2.0499962284457597e-06
78896,2.80526913270237,6.679360290439757,1.040455892838267e-09,2.0499962284457597e-06
14620,3.580331060323477,5.497394413173821,1.1631044740851664e-09,2.0499962284457597e-06
24117,1.8201258835494347,6.76360014892088,1.1674238202994075e-09,2.0499962284457597e-06
226101,-2.3232750520181598,6.439793508453937,1.638045848676454e-09,2.5887676592482677e-06
381290,-2.1446066939941124,6.144011394894809,1.990358163652981e-09,2.8596018562156106e-06
16012,-2.8701996902305655,3.6740183622158638,3.1481408806592737e-09,4.146101539828263e-06
231830,2.2498430324305416,5.181512406218497,3.564664901912196e-09,4.3335357007554115e-06
170761,-3.326489869290291,1.8056294300867093,4.150983984509062e-09,4.685867920798658e-06
14585,2.265122432027789,2.731502766493939,4.898774570972697e-09,5.161348887976833e-06
231991,-2.5751038040347107,4.86517470339949,5.792964018797494e-09,5.722000209567225e-06
16878,3.713024003779131,7.745230918094008,8.224239336589515e-09,7.645639910321216e-06
16669,-2.2998664566667153,9.612802683068203,1.5089156090472635e-08,1.3248279047434974e-05
74747,2.171300111216107,7.153600625933806,1.602427694920951e-08,1.3328824889753004e-05
228413,3.3002592368157644,4.471023026469865,1.7699514883742952e-08,1.3767711098256683e-05
11636,2.7309016529661956,6.446845895736822,1.8294225073613662e-08,1.3767711098256683e-05
67111,-2.5446500926369495,3.7309194973208712,2.305907596775813e-08,1.656480166338407e-05
21827,-3.4305656023160505,3.440791982107486,3.1326124220930894e-08,2.1525133355982254e-05
20319,3.405501126733645,3.267769947329315,4.46144533299504e-08,2.937861751777234e-05
55987,-1.5154748114787004,5.999018552359363,5.171971377305254e-08,3.269513425877289e-05
217166,2.301224286284071,6.444447114090109,5.8731310893443396e-08,3.5299297615583005e-05
12977,2.827813242471139,8.168284866779596,6.03063171109049e-08,3.5299297615583005e-05
50786,1.7528446197675343,3.9492326461164975,6.912064521778425e-08,3.901366703649508e-05
17131,1.9658305403519178,7.254107640560758,8.164166964574167e-08,4.4491894726941426e-05
26365,3.4908618626032695,8.242448091777883,8.457259552613081e-08,4.455284332316571e-05
170770,2.4961009458222745,4.354257525262743,8.956796539594233e-08,4.566232661669267e-05
12654,2.3376959051697033,6.934417065241433,9.380597422123052e-08,4.6328425518510226e-05
20482,1.8846200885964777,8.733450735026778,9.905282311878625e-08,4.7131881537854344e-05
16763,2.0971723656260512,4.938948337706076,1.0139736600145836e-07,4.7131881537854344e-05
12266,4.036262137282602,9.433937668217057,1.3511008706488515e-07,6.1007994742098426e-05
101612,1.991075577482873,4.901931457471454,1.4284584842178946e-07,6.270932745716558e-05
14299,2.1916092668547815,3.6936222643583583,1.4831163016560666e-07,6.334910819289858e-05
20317,1.7107307021334912,5.021875346515891,1.540318058679475e-07,6.406101736676427e-05
232016,-2.5763843945387293,6.398403015851402,1.747660246923783e-07,6.665237994830817e-05
194126,-1.7114648838442577,3.5664050787386867,1.7549277562242601e-07,6.665237994830817e-05
12739,2.331737948303074,6.894881440733305,1.7596312463092538e-07,6.665237994830817e-05
12424,-4.013353302352205,4.101367565243296,1.7713236888312723e-07,6.665237994830817e-05
18260,3.5203530950154276,5.30619475262904,1.9375319108883987e-07,7.121105655739594e-05
68828,-3.656586673356564,2.0490999181239493,2.2384686942540198e-07,7.743097152623027e-05
67971,-2.6003078901926235,6.3663181131545254,2.2764885599678004e-07,7.743097152623027e-05
66234,-2.0393559969158366,4.947804554603551,2.2910777026041594e-07,7.743097152623027e-05
14115,2.2624274784204186,6.437575394887093,2.3027433951738943e-07,7.743097152623027e-05
12833,-2.572514145430114,6.750323598832572,2.45578800456838e-07,8.085682005041391e-05
270150,-3.1737422208783936,2.4232080994795715,2.527584016499587e-07,8.1522322034203e-05
319530,4.091602090409923,5.2194172088228035,2.7622714573393864e-07,8.730987622358333e-05
18019,-1.994361952714457,7.233503606848078,3.056343823339373e-07,9.471070153736363e-05
73847,1.4745305771463915,7.062301338942523,3.219614381890666e-07,9.767454461235784e-05
79362,1.7824195521962964,6.756729809569425,3.322290332892017e-07,9.767454461235784e-05
12023,-1.9798234475654388,4.5405543251720895,3.3373990186454846e-07,9.767454461235784e-05
67451,3.438524062173391,4.994058534727232,3.471325051208479e-07,9.974694747145236e-05
59028,1.9080421684694338,4.652078713953726,3.790310942482595e-07,0.00010693216827561568
53624,3.24674820608891,7.133070279335604,3.8567031078904666e-07,0.00010693216827561568
72515,1.9231385115598258,6.596448464187615,4.4080447138959645e-07,0.00011885483405248989
108897,1.7322713760541943,3.1908740254890255,4.487772500075668e-07,0.00011885483405248989
74134,-2.063864491059725,3.3063116165717625,4.523832099584597e-07,0.00011885483405248989
16071,6.19309111161385,-0.05054975539488243,4.6472559289922326e-07,0.00011885483405248989
76123,-2.1636808412959967,5.995742255234635,4.662743426508714e-07,0.00011885483405248989
107094,1.7152229639962673,6.417254982451451,4.943880710341098e-07,0.00012402077896227096
71819,2.8184857367348477,3.649628115733952,5.976940395768557e-07,0.0001475930718980098
26897,2.107888656373442,6.69430466459014,6.449852074166761e-07,0.00015682071104635616
68026,4.18991069027763,3.2593585417681643,6.669628179714185e-07,0.00015970727841242875
625638,2.239787145822683,1.6405732423719253,7.089098725967951e-07,0.0001666892794822257
59031,-2.1977854473112903,2.6990794006796133,7.250443723095321e-07,0.0001666892794822257
17279,3.3107271279099266,2.914139501765921,7.277626097363689e-07,0.0001666892794822257
211945,2.3581517567357753,3.865504754618412,7.57324907347219e-07,0.00017098232622450642
100340,3.188973306204971,3.4526331537917225,7.827881215188438e-07,0.00017424202073920857
320685,2.3377230719945294,3.135813685923125,8.234636382776298e-07,0.00018018885239801496
22339,1.7822393253941329,8.544377951195488,8.3230740477443e-07,0.00018018885239801496
226025,2.2494241194649653,4.129890896780298,8.9175294745525e-07,0.00019044950785922663
19092,-1.9762131540180015,1.8737953303659476,9.225001001202164e-07,0.00019344356003412767
545370,-1.5645763705217925,5.917564818183738,9.467108174650371e-07,0.00019344356003412767
53311,2.1141955361129865,4.006840494703724,9.487513697128642e-07,0.00019344356003412767
228543,3.6294704001745903,5.44078899905036,9.547328323628169e-07,0.00019344356003412767
68108,1.5454777009381464,4.732324502948552,1.006432255857928e-06,0.00019812650125561662
12834,-2.4045719258480545,6.201191531429808,1.0189422929209724e-06,0.00019812650125561662
14038,2.2308958510429786,10.40013827634456,1.0195717514124473e-06,0.00019812650125561662
52040,-1.8540293188346815,7.395155972522216,1.027991211273131e-06,0.00019812650125561662
320311,-2.0546822745463342,1.9890857255502168,1.0457345373324734e-06,0.00019911793527713746
14287,1.4208860478995506,5.210729172662596,1.0755443332944233e-06,0.0002012838945790272
11555,1.5809409831517502,5.812086962073035,1.08258232341289e-06,0.0002012838945790272
