,NGenes,Direction,PValue,FDR
Set2_500to599,100,Up,0.05520781465177181,0.4416625172141745
Set6_small10,10,Up,0.1749862050630897,0.6999448202523588
Set1_first100,100,Up,0.2843901061322741,0.7583736163527309
Set8_random150,150,Down,0.5746274763419777,0.9120875679534106
Set3_random200,200,Down,0.7430038099706013,0.9120875679534106
Set7_large2000,2000,Down,0.8775992366405011,0.9120875679534106
Set5_random500,500,Down,0.8997530360115347,0.9120875679534106
Set4_random50,50,Down,0.9120875679534106,0.9120875679534106
