"","NGenes","Direction","PValue","FDR"
"Set2_500to599",100,"Up",0.0785788666675024,0.628630933340019
"Set8_random150",150,"Down",0.488252218861082,0.997800466019585
"Set1_first100",100,"Up",0.564552611700526,0.997800466019585
"Set5_random500",500,"Down",0.824551201804471,0.997800466019585
"Set7_large2000",2000,"Down",0.8979364536584,0.997800466019585
"Set3_random200",200,"Down",0.906144782529517,0.997800466019585
"Set6_small10",10,"Up",0.913595967544477,0.997800466019585
"Set4_random50",50,"Down",0.997800466019585,0.997800466019585
