,NGenes,Direction,PValue,FDR
Set2_500to599,100,Up,0.07858658196157126,0.62869265569257
Set8_random150,150,Down,0.4882470040876494,0.9978688167476477
Set1_first100,100,Up,0.5647740945108544,0.9978688167476477
Set5_random500,500,Down,0.8245461894013959,0.9978688167476477
Set7_large2000,2000,Down,0.8979416939051996,0.9978688167476477
Set3_random200,200,Down,0.9060166355133703,0.9978688167476477
Set6_small10,10,Up,0.9139320366047474,0.9978688167476477
Set4_random50,50,Down,0.9978688167476477,0.9978688167476477
