EntrezGeneID,logFC,logCPM,PValue,F,FDR
211577,-5.148745515947253,2.7430122626520377,3.676465930284693e-13,510.6504887802214,5.8102867562219285e-09
12992,-6.086162481208501,10.182642199878128,6.30162603935977e-11,419.24163223990627,3.4553353234813663e-07
24117,1.8201258835494347,6.76360014892088,7.388196925412952e-11,311.36345590777006,3.4553353234813663e-07
140474,7.17430832316871,6.051048880522273,8.745470320124946e-11,302.4749957207485,3.4553353234813663e-07
21953,-5.756249034945838,3.857316589503653,1.1836717022848632e-10,377.5668262651227,3.7413495165819954e-07
78896,2.80526913270237,6.679360290439757,3.215029645521571e-10,248.42601962095765,7.059931973939964e-07
381290,-2.1446066939941124,6.144011394894809,3.444935428955347e-10,316.40307836974915,7.059931973939964e-07
226101,-2.3232750520181598,6.439793508453937,3.5737443553226853e-10,314.2266999128817,7.059931973939964e-07
14621,4.53950910677096,5.537239010735385,4.124713158749336e-10,239.04495748389954,7.242996306763834e-07
14620,3.580331060323477,5.497394413173821,6.062640167118797e-10,281.45747490032875,8.272763610014027e-07
14585,2.265122432027789,2.731502766493939,6.092150783638577e-10,208.11086213319302,8.272763610014027e-07
12740,5.32030780904625,9.866765225775508,6.281521343974205e-10,285.89375308293336,8.272763610014027e-07
231830,2.2498430324305416,5.181512406218497,7.084448518623936e-10,280.1571444128782,8.612509568333284e-07
16012,-2.8701996902305655,3.6740183622158638,1.1235390685420444e-09,260.0381118030274,1.2683151028027477e-06
231991,-2.5751038040347107,4.86517470339949,1.6678321038752912e-09,242.52544198573892,1.6732978966933307e-06
170761,-3.326489869290291,1.8056294300867093,1.6940500093073458e-09,237.48568973292456,1.6732978966933307e-06
55987,-1.5154748114787004,5.999018552359363,2.13838551744367e-09,235.41916098664234,1.9879438069223383e-06
74747,2.171300111216107,7.153600625933806,3.0204974564291638e-09,219.26943047279727,2.651996766744806e-06
50786,1.7528446197675343,3.9492326461164975,3.4167739897487077e-09,142.82138136910365,2.717293774242663e-06
16669,-2.2998664566667153,9.612802683068203,3.4387418049135196e-09,214.4874628577054,2.717293774242663e-06
16878,3.713024003779131,7.745230918094008,4.6315733187891894e-09,203.87994403181474,3.485589749054493e-06
67111,-2.5446500926369495,3.7309194973208712,6.277475788343498e-09,193.56918144099657,4.392687111382152e-06
11636,2.7309016529661956,6.446845895736822,6.392799516691312e-09,193.72949945535274,4.392687111382152e-06
228413,3.3002592368157644,4.471023026469865,7.314748893270225e-09,188.57700529939558,4.816762146218443e-06
17131,1.9658305403519178,7.254107640560758,1.1406459975702153e-08,174.71191350949417,6.9461307485124105e-06
20482,1.8846200885964777,8.733450735026778,1.185678203628223e-08,173.5501423205363,6.9461307485124105e-06
20317,1.7107307021334912,5.021875346515891,1.186696597126266e-08,173.5727334816716,6.9461307485124105e-06
