"","(Intercept)","CellTypeluminal","Statuspregnant","Statuslactate","CellTypeluminal:Statuspregnant","CellTypeluminal:Statuslactate"
"497097",-12.0798161872223,0.294630697143214,0.0684789131125179,0.94120112702717,-7.31736250688588,-8.19008472080053
"20671",-12.4995032579488,-0.497185681389148,-0.0136251746742921,-0.267653216788009,-1.29939058259454,-1.24517734259073
"27395",-11.1430156846469,-0.0913654798447982,-0.154505064215913,-0.129796026567231,0.520263442392062,0.755180477037358
"18777",-10.6143885460515,0.0529093178260513,0.403221045123486,0.462296197783623,-0.226787039275076,0.0402870041700876
"21399",-9.86027157099926,-0.0607371611898841,0.120468018147614,-0.0333669045807916,-0.170080948646396,-0.214144962877636
"58175",-12.6842932890035,-0.0787818889109992,-2.17756164449171,-3.47235243379561,2.64735985093139,2.89290176236681
"108664",-10.1520843883502,-0.0386008140280385,0.0237712536917716,0.0994254984426419,0.710321083109402,0.880168149318122
"12421",-9.91663610548766,-0.0165701587629847,-0.178625215949161,0.380509691044058,0.396595329795117,-0.331631857514049
"319263",-10.0553135717825,-0.0814492746766611,0.303194601147618,0.751286685435348,-0.0421421503174866,0.26868489518729
"59014",-9.79278999271968,-0.162263201114188,0.271905904802988,-0.611898544880949,-0.272163483118193,0.157133131411182
"76187",-14.0939567207226,0.500640072841792,-0.0615661132995289,0.369333702523566,2.00403558858806,2.35241233522851
"72481",-14.7158472973078,-0.158693617805991,-1.05103035810905,0.489254684560816,2.75719626927845,0.707314810169416
"76982",-15.3849000695633,0.737017123178093,1.14022791158991,2.86654600823993,-1.27460283675167,-2.89220238524759
"17864",-11.1241018944804,0.228401418240718,-0.323080546351193,-0.0162477494227549,-0.707264563836839,-1.69392681436553
"70675",-9.85426332855344,0.0225837407659952,-0.223164188455167,-0.0805174999371303,0.401219773962698,-0.363935941112736
"170755",-11.7229675637124,-0.0501781589441741,-0.354302016056018,0.219130403832372,-0.707618925039908,-1.1716077215704
"620986",-12.5320598442436,-0.159712212737514,-0.428527414122083,-0.340053632877932,0.294906751305708,-0.00654169293311746
"73824",-11.1628566927398,-0.130411858183299,0.0743187962223981,-0.586436687044635,-0.360962582490783,0.0217959974303792
"266793",-14.8480837559508,-0.303206286473795,0.328797704154805,-0.33542346940332,-1.09193461773205,-0.452189078812863
"100038398",-14.3924613010231,0.827030846898245,0.58120446859705,0.265793980416269,-1.02929001724802,-0.253927720479114
"100039596",-15.3779668127946,0.230036604065491,0.0526447991051153,-0.566349695508496,-1.03740962363801,0.0514664769460023
"26754",-9.95814427751657,0.0274612473684019,-0.098347972003694,-0.162434740309244,0.340569985860059,0.319928278453903
"211660",-10.7461198230062,0.0294424051339597,-0.176655866714412,0.142383939248074,0.199863675769878,-0.261930413184581
"211673",-8.91331375194005,-0.118046311426216,-0.0960943656234559,-0.0300159033906002,0.278288572779893,0.389562233573836
"329093",-12.9884947633716,-0.356414112953702,0.239997979821727,0.28670410036076,-5.92915818734887,-5.97586430788791
"109294",-11.2567653801379,-0.328856649652641,-0.8169004617989,-0.645135821002757,-1.02426049407708,-0.197683950646336
"240725",-10.8705623230889,-0.145493525904135,-0.10422682082539,-0.0350702472953692,-3.38945574358666,-2.47381402264217
