,EntrezGeneID,logFC,logCPM,PValue,F,FDR
0,217944,3.6229180884941865,5.982582162315849,1.664825699366266e-08,347.51656652768315,0.000265856015931799
1,52150,3.9836340362872504,5.944633504693909,4.535930975069235e-08,270.1030463930109,0.00036217140870440306
2,432466,3.507545308062673,4.835162021546306,1.046426045332138e-07,218.30231046854416,0.00036300505542806373
3,230810,4.180828210304639,5.2695587124067,1.1264071598591608e-07,214.6497496234767,0.00036300505542806373
4,13645,2.1403579767006913,3.8324330724162188,1.1409396234312914e-07,220.51338996128842,0.00036300505542806373
5,23790,-1.588491556816448,5.127815542499388,1.3639115364571248e-07,203.934100882391,0.00036300505542806373
6,12804,-8.383121010562528,3.8848110543273937,1.964165737568866e-07,110.71003529048735,0.0003950696157982354
7,13358,1.2760843658657903,7.505439825750381,2.1172943855682123e-07,182.18146836033756,0.0003950696157982354
8,68263,1.5106085284256832,6.805255326012229,2.2265805887557884e-07,179.85449158453346,0.0003950696157982354
9,66612,2.1558637414594433,6.891943852711017,3.316264803408283e-07,162.43506275836896,0.0005295743264562687
10,13845,-2.4310470570249776,5.788041647504181,4.044490560879036e-07,154.4315090132915,0.0005871497251516121
11,68428,2.5319623787431333,4.888875063325506,4.6535104487440105e-07,148.97746299255277,0.0006011146949666666
12,14063,2.322292725131371,5.5969902223223365,4.99240757267005e-07,146.27641477987692,0.0006011146949666666
13,13491,5.436066454996671,3.653552634719072,5.269964136472748e-07,128.55444875886252,0.0006011146949666666
14,67213,1.958652993461135,8.40889290855246,5.839659103780684e-07,140.4915165378875,0.0006216901081884916
15,104112,2.080818061847612,9.874240572011333,7.227102860093988e-07,132.9967966963968,0.0007213100348302556
16,329739,-0.9675045983545129,4.637465206225986,8.448376861803873e-07,127.81944809625772,0.0007346569574802767
17,100705,1.5834906491604261,6.6005092612442855,8.602249330695018e-07,127.17509019113972,0.0007346569574802767
18,22051,-0.262322506585144,5.845758702117036,9.176515871785316e-07,125.0662371140629,0.0007346569574802767
19,14456,-3.1945329453050744,8.41860369998669,9.472994909674538e-07,124.05403475436172,0.0007346569574802767
20,72027,4.640531834061903,4.273239317172087,9.794509129824148e-07,123.55540470980499,0.0007346569574802767
21,11941,4.195745419505582,6.626897415743314,1.0530919432813956e-06,121.42160471715158,0.0007346569574802767
22,20515,2.6365175505264706,9.023037391542664,1.05811948287597e-06,120.54885884530007,0.0007346569574802767
23,12814,-6.349347656574462,6.142352764721409,1.2726132658406913e-06,111.0583882309265,0.000770898063331251
24,110253,-1.8861236265621648,5.760533628046867,1.3678300243456165e-06,112.81297833655472,0.000770898063331251
25,225358,-0.10890183970263793,6.879733494948442,1.413177408225587e-06,111.8621546596003,0.000770898063331251
26,193813,1.0972511009621393,7.002713238980777,1.437676467939678e-06,111.36547597710486,0.000770898063331251
27,53871,-0.8793584084952274,3.703843914289387,1.4460880985019113e-06,111.51265878149219,0.000770898063331251
28,18019,-2.8822261119131873,7.231098080311169,1.4681310334691237e-06,110.82310297667729,0.000770898063331251
29,213006,-0.17911761794840156,4.403898964492846,1.5214220414747636e-06,109.7574797123445,0.000770898063331251
30,66120,3.8504843324800784,6.8663180079967185,1.5343097642498804e-06,109.51449668929908,0.000770898063331251
31,74051,-3.0270371602002633,4.938462499096582,1.5447891556515769e-06,109.32531240114653,0.000770898063331251
32,13132,3.5456457302298974,8.223471612367984,1.6777968118934826e-06,106.99816408815842,0.0008038163672431352
33,12505,-4.774239338368156,7.4878240337602655,1.7144292651667274e-06,106.6215525162292,0.0008038163672431352
34,16917,-4.785889014409507,3.871900405768364,1.761761716670407e-06,106.37781277875614,0.0008038163672431352
35,64291,0.39547334343604906,6.110574317078353,1.8277400267808568e-06,104.64931006670005,0.0008107550135462083
36,22704,-0.6513705258610895,6.445567473470631,1.884643377677043e-06,103.82018286242536,0.0008134018945439109
37,235339,1.3044380758597658,6.9334270390162365,2.0455452095675567e-06,101.63534156529406,0.0008596134592522188
38,67800,-3.115202552265808,4.770688235089093,2.352165669484615e-06,98.07777190065865,0.0009479411554352363
39,56068,2.426487463756901,3.880389814197125,2.374453392035159e-06,97.80789543551073,0.0009479411554352363
40,14104,2.73320549762005,11.053792631950675,2.527157299482456e-06,96.19939971904115,0.0009842969491569596
41,116873,0.22844157176890253,5.3935295946883715,2.7553138201246145e-06,94.05888882775619,0.0010149243966850602
42,224617,0.8770057477542659,5.200805874085267,2.7715095804716683e-06,93.92111249312825,0.0010149243966850602
43,208659,4.788366601848033,7.245088096820779,2.796460232584548e-06,93.71602664657794,0.0010149243966850602
44,13447,4.28155590212402,5.071256519121559,2.9214016287967603e-06,92.97840566071211,0.0010165075444189553
45,107476,3.3880640316207797,8.80364692536258,2.9426394432543035e-06,92.46010504746135,0.0010165075444189553
46,71228,-1.22281490413368,6.04287360202848,2.991787500011954e-06,92.0636608227036,0.0010165075444189553
47,12043,-1.7844307998045592,4.179662296210865,3.070582280478725e-06,91.90548798047001,0.0010197850679512254
48,242960,-1.4409620566676045,5.5550214721582964,3.129154507458829e-06,90.99513991254604,0.0010197850679512254
49,30878,4.912977024408754,5.702552466672145,3.5565785324222726e-06,88.21233181799715,0.00111533074699717
50,109042,-2.937010822003016,5.049682854301937,3.5620181662505896e-06,88.17002370121006,0.00111533074699717
51,68545,-0.17080386235049233,4.932823335727159,3.732254008642337e-06,87.00952842704076,0.0011461608512309516
52,16688,-6.567895657946471,4.798240150928631,3.865360382638671e-06,84.01837140320997,0.0011465493453746442
