,NGenes,Direction,PValue,FDR,PValue.Mixed,FDR.Mixed
Set2_500to599,100,Up,0.0005062286014434727,0.004049828811547781,8.341531835697301e-07,2.0345707419206207e-06
Set8_random150,150,Down,0.006140744706980753,0.02456297882792301,1.0172853709603103e-06,2.0345707419206207e-06
Set1_first100,100,Up,0.014418764974045846,0.03845003993078892,3.1234734803664753e-06,3.5696839775616863e-06
Set5_random500,500,Down,0.12015254363571064,0.24030508727142127,6.503636457891252e-07,2.0345707419206207e-06
Set6_small10,10,Up,0.16859504411049686,0.26975207057679496,0.0010069455791969534,0.0010069455791969534
Set3_random200,200,Up,0.45524099579613475,0.6069879943948463,2.4112944985754838e-06,3.2150593314339785e-06
Set4_random50,50,Down,0.8361049207277814,0.8479893870651299,9.122098438427746e-08,7.297678750742197e-07
Set7_large2000,2000,Up,0.8479893870651299,0.8479893870651299,1.6807577499921318e-06,2.689212399987411e-06
