,NGenes,Direction,PValue,FDR
Set2_500to599,100,Up,0.0048090309742723665,0.03847224779417893
Set8_random150,150,Down,0.14559758923624969,0.5823903569449987
Set1_first100,100,Up,0.2594545586438055,0.6842614068652942
Set6_small10,10,Up,0.42489218894418135,0.6842614068652942
Set5_random500,500,Down,0.4276633792908089,0.6842614068652942
Set7_large2000,2000,Down,0.6921410227813942,0.9140251986330872
Set4_random50,50,Down,0.8938759225306767,0.9140251986330872
Set3_random200,200,Up,0.9140251986330872,0.9140251986330872
