,logFC,logCPM,PValue,FDR
0,-9.199018678961123,12.848343379094574,7.485036795059735e-13,2.5002977818776797e-11
1,-9.616221881990263,13.251487234619292,3.828773392370478e-14,3.828773392370478e-12
2,-8.592322097038371,12.274343965941393,4.840110955144179e-11,9.680221910288356e-10
3,-9.033988381223564,12.689443293655676,2.3834054013601313e-12,5.958513503400328e-11
4,-9.19910342093835,12.84766423717926,7.500893345633039e-13,2.5002977818776797e-11
5,3.0711790990361933,14.342107422701464,1.8593892838384552e-06,3.098982139730759e-05
6,1.7190160201531477,14.601768731864974,0.004444560416815488,0.06349372024022125
7,-0.020931127216126746,14.09593151792275,0.9718638546871848,0.9816806613001867
8,1.92717510382684,13.26315382197765,0.005452828277040895,0.06816035346301119
9,0.8189362356806171,14.567590525571921,0.16682310395276054,0.6344873304651785
10,-0.9180519014841944,13.780138528485482,0.12786361348551506,0.6344873304651785
11,-0.4148593436653174,13.393528885829587,0.5185873432946766,0.8868922803650489
12,0.5808555054376432,13.048882765975142,0.38814381235720763,0.8821450280845627
13,-0.34825935080215265,13.281279323153932,0.6002887550682717,0.8868922803650489
14,0.22071552525788632,13.326152265746183,0.7395042141745881,0.9209481188834382
15,-0.8741421589896409,12.626269801316788,0.20375643744062466,0.6639360597878974
16,1.6325495307020277,13.68476501556125,0.010304849901873005,0.10304849901873005
17,-0.19422205039349502,12.841193860241967,0.773596419862088,0.9209481188834382
18,1.6664622155009345,13.740805423110112,0.008747168125591835,0.09719075695102039
19,0.6418777781450054,12.950971611967214,0.3423468736889525,0.8525788799130228
20,0.16861910622588897,13.415743002967783,0.7929378544463487,0.9260077574110762
21,-0.4090585956939813,12.974486386496292,0.5428078904071632,0.8868922803650489
22,-1.1734307297290885,13.43758204492471,0.07105681483348347,0.5075486773820248
23,-0.36883410902462604,13.379724936900157,0.5664343857054177,0.8868922803650489
24,0.17668956266087765,12.56687904335046,0.7963666713735256,0.9260077574110762
25,-0.2628315357028615,13.355570341664373,0.6917759786847382,0.8868922803650489
26,-1.0045162585319398,13.112159731917496,0.13669277275817157,0.6344873304651785
27,-0.5992807959192948,12.741567619372681,0.37794623563657975,0.8821450280845627
28,-0.8202122963450973,13.53430915096981,0.18918466764164277,0.6639360597878974
29,0.6470233204013219,13.337768281703342,0.33151648461318417,0.8500422682389337
30,-0.3004880784055294,13.610558462191888,0.6277674818243638,0.8868922803650489
31,-0.964943228306273,12.98442873201897,0.15450908623433465,0.6344873304651785
32,-0.09114662737221006,13.408590660159527,0.8871544355200823,0.9364938238958762
33,-0.28962796228611926,13.003702113044717,0.6659312324626446,0.8868922803650489
34,-0.30051814403348287,13.414301255950788,0.640028173617168,0.8868922803650489
35,0.1566297642703194,13.329114449528177,0.8132609554639507,0.9347827074298284
36,0.8087765530760012,13.144680660936668,0.22932107637752777,0.6949123526591751
37,-0.6093980316024532,13.598606378983195,0.32701230974436546,0.8500422682389337
38,0.3319976791102795,13.581275288592108,0.5928727859801122,0.8868922803650489
39,-0.08012550245414865,13.80032911962302,0.8934232878080631,0.9364938238958762
40,-0.3380803374582198,13.211852747374133,0.6117291020623782,0.8868922803650489
41,-0.6376679680481854,13.629559328128597,0.3045992271196433,0.8461089642212315
42,0.9803584310207607,13.550349380229658,0.11817132029178716,0.6344873304651785
43,0.6329901622034434,12.918878660525332,0.34955734076433936,0.8525788799130228
44,-0.9467594124952331,13.327422974755974,0.15679383146825535,0.6344873304651785
45,-0.2952734611140961,13.870754532096232,0.6209916712355631,0.8868922803650489
46,-1.0746777339050972,13.134346620256649,0.11155935524525194,0.6344873304651785
47,0.468468836970967,13.27530814134795,0.48188879274225654,0.8868922803650489
48,1.1125836825495659,13.077878061048567,0.1013998205345194,0.6344873304651785
49,-0.27431658343884147,12.952077601262536,0.6834167611866927,0.8868922803650489
50,0.3216123040746041,13.287367651975782,0.6286903237213181,0.8868922803650489
51,0.8658873210716903,13.138973135813776,0.19879179636348687,0.6639360597878974
52,-0.05465874609846064,12.811841733914969,0.9355528111733207,0.9644874341992997
53,-0.5137427161270726,13.575974342977496,0.408272881386232,0.8868922803650489
54,0.4706772314557723,13.80477102085449,0.43256657700205386,0.8868922803650489
55,1.4243726756007344,13.089756301724936,0.03766724201697144,0.34242947288155856
56,0.8530664983702801,13.004558597366,0.20771224851686085,0.6639360597878974
57,0.035848163437013525,13.264294206966566,0.9569797550848392,0.9765099541682033
58,0.45382820613842795,13.185966017063668,0.49687287937916036,0.8868922803650489
59,0.6102369628268935,12.410770624262184,0.3793851033809085,0.8821450280845627
