,NGenes,Direction,PValue,FDR
Set2_500to599,100,Up,0.045511965642891165,0.3640957251431293
Set8_random150,150,Down,0.3559182777738452,0.88935686231964
Set1_first100,100,Up,0.4238023704732047,0.88935686231964
Set6_small10,10,Up,0.44467843115982,0.88935686231964
Set5_random500,500,Down,0.7447124383239176,0.9501407198175591
Set4_random50,50,Down,0.9129590777709706,0.9501407198175591
Set7_large2000,2000,Down,0.9296105512325514,0.9501407198175591
Set3_random200,200,Up,0.9501407198175591,0.9501407198175591
