"","logFC.CellTypeluminal.Statuspregnant","logFC.CellTypeluminal.Statuslactate","logCPM","F","PValue","FDR"
"217944",3.62260486778665,5.20857752221257,5.98269210455748,342.506684132196,1.76234136257398e-08,0.000281428292189438
"52150",3.98331364876768,6.53396097050835,5.94477492986658,267.947528846892,4.6791675822003e-08,0.000368595454264624
"432466",3.50724731104851,5.751365574637,4.83532949507962,217.913566620227,1.0532947650098e-07,0.000368595454264624
"230810",4.18048670750843,7.20217350626561,5.26974760606129,214.145533171773,1.13633260672138e-07,0.000368595454264624
"13645",2.14003149084694,5.96152916434954,3.8328606133219,219.28124503742,1.16548071490326e-07,0.000368595454264624
"23790",-1.58882218608752,-4.67893202985509,5.12780547033681,203.118188577844,1.38491622868542e-07,0.000368595454264624
"12804",-8.38339611863572,-7.62072600224556,3.88471565422946,110.523972112634,1.98233286082661e-07,0.000411628200507365
"13358",1.27571701386011,4.73950267853379,7.50552379415472,182.682691563981,2.09372785724877e-07,0.000411628200507365
"68263",1.51027779528054,3.13770665126788,6.80531945702512,177.958422524207,2.31990344077042e-07,0.000411628200507365
"66612",2.15553406410547,3.29036983771487,6.89201959809086,161.231102978235,3.41261850246554e-07,0.000543605507925549
"13845",-2.43136859756091,-3.67679699604434,5.78798621249154,152.579052404742,4.23766956483781e-07,0.000543605507925549
"68428",2.531626943993,4.78729390851382,4.88902129111541,148.797184692623,4.67363359939258e-07,0.000543605507925549
"67213",1.95832640440996,3.5935909209953,8.40894415337034,145.942020956555,5.03332746233422e-07,0.000543605507925549
"14063",2.32195931720176,-1.59925519013247,5.59692638520939,144.919136361421,5.17494306001421e-07,0.000543605507925549
"13491",5.43581271336446,9.24180852417435,3.65400361924125,128.209280408202,5.32875859197451e-07,0.000543605507925549
"104112",2.08050000113652,4.34307963771183,9.87430024916241,143.014597561868,5.44660788202692e-07,0.000543605507925549
"329739",-0.967803055924792,-3.97187691671519,4.63744581258249,127.715425594939,8.47186946553259e-07,0.000719668673064183
"100705",1.58322225622613,5.32344915567882,6.60062466470684,126.552232840888,8.76433885876922e-07,0.000719668673064183
"14456",-3.19487587616332,-6.3152204716394,8.41858107509863,125.627566257516,9.01770255998322e-07,0.000719668673064183
"20515",2.63620669860065,4.2521058926102,9.02308072458407,125.549445289215,9.03546591515648e-07,0.000719668673064183
"72027",4.64020627735305,2.5088459045234,4.27327834462228,123.33734879539,9.85791260971465e-07,0.000719668673064183
"22051",-0.262644602059293,-2.34796990289082,5.8457438968521,122.583250847127,9.9146538965571e-07,0.000719668673064183
"11941",4.19545964422891,7.73575341809456,6.62702332687945,121.085700903087,1.06413406435632e-06,0.000738832907552436
"12814",-6.34957410534786,-7.97598088155624,6.14234364989632,110.74786873991,1.28646805787713e-06,0.000778718088918841
"110253",-1.8864441571083,-3.13703780686047,5.76055068619105,111.423260518623,1.43442068176027e-06,0.000778718088918841
"225358",-0.109244878689196,-2.64022093789458,6.8797297741966,111.232001353018,1.44383767644643e-06,0.000778718088918841
"18019",-2.88248756589715,-7.10207691592871,7.23113178367215,110.721219707397,1.47282217053285e-06,0.000778718088918841
"193813",1.09693370370662,2.63191062495944,7.00275794769604,110.630204285729,1.47440654329402e-06,0.000778718088918841
"53871",-0.879679857504651,-3.81844677266943,3.70378707238503,110.839540220341,1.47973143596811e-06,0.000778718088918841
"213006",-0.179453146764945,2.69818287613394,4.40405243832048,109.585215629941,1.53012619153945e-06,0.000778718088918841
"66120",3.85008493694022,6.76974080146865,6.86641118930222,109.420547120675,1.53884843073353e-06,0.000778718088918841
"74051",-3.02735124296272,-0.115392630345589,4.93849159497598,108.997094778176,1.56226339375874e-06,0.000778718088918841
"13132",3.54538066227442,4.94048059237273,8.22354869752214,108.151544525042,1.60922392975902e-06,0.000778718088918841
"12505",-4.77452292029373,-7.1728238074196,7.48781456528792,106.655076252058,1.71173983843279e-06,0.000803963925880389
"16917",-4.78622254314572,-2.73818452337161,3.87183468481977,106.008330895103,1.78484200499596e-06,0.000814346913650869
"64291",0.395161085087042,2.81184425765875,6.11065796299933,103.383368062062,1.91483829486136e-06,0.000828418750189207
"14104",2.73288404168408,5.23065307956168,11.053855258621,103.318808063476,1.91943726952224e-06,0.000828418750189207
"22704",-0.651683944669077,-2.7491807990427,6.44557752988882,102.544989658718,1.97585851100292e-06,0.000830328541110674
"235339",1.30407514690053,3.19920325534062,6.9334960989902,101.266001064446,2.0736964253681e-06,0.000849098928633416
"67800",-3.11549008657058,-3.21108204457376,4.77062355455213,97.9290623122564,2.3651112448973e-06,0.000944211536744123
"56068",2.42616170677918,3.27690414332546,3.88057851372466,97.2443781599801,2.42694770007816e-06,0.000945266532257272
"107476",3.38772419800519,4.5233315726865,8.80371334048143,94.5613768204014,2.69857126285174e-06,0.00100805461240324
"208659",4.78804304601188,7.06978460595057,7.2451624028485,93.6930574582703,2.79814570552337e-06,0.00100805461240324
"224617",0.876668043767024,3.07601540042385,5.20093922614599,93.5291459529728,2.8154044570179e-06,0.00100805461240324
"116873",0.228144148559202,2.68051155637709,5.39361098013551,93.3061116047082,2.8406573710405e-06,0.00100805461240324
"13447",4.28114822073101,6.94617305752476,5.07139587073448,92.9482229931803,2.92403777346001e-06,0.0010150860696605
"12043",-1.78477112646863,-3.46517558334581,4.17951763195664,91.6911257427108,3.09708179412847e-06,0.00105228296107314
"71228",-1.2231472892733,-2.27651223290317,6.04285220767344,90.4684636991196,3.19808575117861e-06,0.00105450639371161
"242960",-1.44128109555575,-3.12276195868803,5.55500146888429,90.1958879062048,3.23569498978451e-06,0.00105450639371161
"109042",-2.93730134494744,-5.28850827947539,5.04964796430053,88.0219677636995,3.58379843415011e-06,0.00112588710035881
"30878",4.91264591582455,5.57214167867688,5.7026919359811,87.95254547386,3.59573186287803e-06,0.00112588710035881
"68545",-0.171191371682354,-4.26291706460068,4.93281541980533,86.9819801879262,3.73554777162702e-06,0.00114717235317523
"16688",-6.56828978406803,-7.95016443407548,4.79816737583151,84.0271097252966,3.86332581307683e-06,0.0011535882632364
"77011",0.913848571296303,5.49762193387123,2.52483833722618,85.4332978959404,4.09548795216077e-06,0.0011535882632364
"209027",1.38786247775378,3.75659793761559,3.09630392371834,84.7589219105392,4.12287003568006e-06,0.0011535882632364
"226251",-3.20237766826466,-3.79937669488642,5.28722855784352,84.5541710564775,4.1464622029703e-06,0.0011535882632364
"19270",-1.71098296193318,-4.212984974738,7.07702184363943,84.3370812295679,4.1838073956734e-06,0.0011535882632364
"54325",1.19098761527953,2.63277108531808,7.24771102168478,84.2464977474703,4.20028229884545e-06,0.0011535882632364
"12428",0.011715502219745,3.97519815923683,3.79693625395941,83.1688636996721,4.42194081656052e-06,0.0011535882632364
