"logFC","logCPM","F","PValue","FDR","GeneID"
-5.14873641951264,2.7428718713897,511.406470510688,3.71343653578979e-13,5.86871510116219e-09,"211577"
-6.08615548857591,10.1826014140375,427.905841620946,5.67029500303668e-11,3.593902226786e-07,"12992"
1.82012692998493,6.76375635219789,309.14600100484,7.87316095066262e-11,3.593902226786e-07,"24117"
7.17430282487699,6.05100769880961,301.417372010827,9.09618381874461e-11,3.593902226786e-07,"140474"
-5.75622201584597,3.85732022466926,377.122916243657,1.21274219609234e-10,3.83323553340868e-07,"21953"
2.80527055094987,6.67952984962733,247.326492172451,3.35942585962992e-10,7.445119544741e-07,"78896"
-2.14460355901175,6.14410892986207,313.910355902331,3.66850735434211e-10,7.445119544741e-07,"381290"
-2.32326801749961,6.43967024857461,312.259447190141,3.76872667412857e-10,7.445119544741e-07,"226101"
4.53951477122052,5.53761169044886,238.469239878662,4.25198745547143e-10,7.46648997180784e-07,"14621"
5.32030938802278,9.86675508583578,289.637203161944,5.9020307119999e-10,8.31371019767167e-07,"12740"
2.26512618501061,2.73247968669967,209.400288700108,5.93013648365986e-10,8.31371019767167e-07,"14585"
3.58033583964769,5.4977414809646,280.286115116863,6.31261214705518e-10,8.31371019767167e-07,"14620"
2.24984472130929,5.1816591809453,279.273008744562,7.32750026213974e-10,8.90798570329665e-07,"231830"
-2.87018375189767,3.67416217595962,259.95427566154,1.14209819880216e-09,1.2892657095621e-06,"16012"
-3.32648622724972,1.80550013225194,238.455449939293,1.67768640629215e-09,1.68804457942686e-06,"170761"
-2.57509102032335,4.86540757180702,242.103357320595,1.70897957927295e-09,1.68804457942686e-06,"231991"
-1.51547416578714,5.99916071894533,232.857124156396,2.31191818571822e-09,2.14926794159358e-06,"55987"
-2.29986327224027,9.61278255593414,220.108894114684,2.99348998520344e-09,2.56807409066941e-06,"16669"
2.17130036601101,7.1536546908905,218.955406359073,3.08740873973163e-09,2.56807409066941e-06,"74747"
