"logFC","logCPM","F","PValue","FDR","GeneID"
-5.3601503595299,3.66960505242474,1179.91672493814,1.25632018612818e-13,1.14223051565884e-09,"13645"
-8.55392279343554,10.1826014140375,1071.49208014225,2.13488373118241e-13,1.14223051565884e-09,"12992"
-7.37251644302234,6.59819632953198,1086.45956335571,2.16824319601147e-13,1.14223051565884e-09,"11941"
-6.2566305877165,4.20531450442272,918.319891085779,5.59982132309188e-13,2.2124894047536e-09,"69219"
-4.13063697050628,7.49233753337556,877.27092245001,7.2949664780203e-13,2.30579300437266e-09,"13358"
5.38811155778676,6.81899096869158,788.605385376562,1.39816923476652e-12,3.53642740834382e-09,"19659"
-4.84619642437531,3.15852517048681,410.192400942953,1.56637508595335e-12,3.53642740834382e-09,"83492"
-6.50671433403926,5.06662359231484,690.287849969546,3.15021293882779e-12,6.2232456606543e-09,"67547"
-2.85852155159458,7.20697023238967,638.910063916579,5.03392340471477e-12,8.83956949867913e-09,"68801"
-6.0368138203066,2.63047065928194,566.508895785124,5.8340831794312e-12,9.22018505677306e-09,"14618"
4.34313745363053,4.27095920369911,605.871543216545,6.97945211961441e-12,1.00275692089442e-08,"72027"
-3.53835197096886,5.66789020928503,583.54033292372,8.75224169701847e-12,1.14997111906701e-08,"12705"
3.71563771216478,4.67273868901667,575.898519700301,9.45939290551194e-12,1.14997111906701e-08,"217294"
-3.01798876904837,6.37388542457864,555.059381496892,1.18231337667908e-11,1.15602650540092e-08,"14598"
-2.6783930415105,5.29631373872998,554.728708494438,1.1866134755409e-11,1.15602650540092e-08,"68603"
3.61306946506987,6.95876024897353,554.062860284142,1.19526382399212e-11,1.15602650540092e-08,"19041"
-6.82629029435648,0.944885809243854,385.537312230923,1.24351117386837e-11,1.15602650540092e-08,"544998"
-4.31847674746964,6.57467464108839,541.33412674183,1.37630553346472e-11,1.20839625838203e-08,"100705"
-3.20287172393223,5.20797576012386,530.982138669528,1.55032453555238e-11,1.28954362946683e-08,"230810"
-4.18459318373148,7.99782398513873,510.496087260007,1.96551412363935e-11,1.55314926049981e-08,"20531"
-3.18106291436711,5.70362459664331,500.213199292069,2.21969442533201e-11,1.67047860466415e-08,"170439"
-4.14846772711884,3.64506225323941,484.297295772771,2.83842955985041e-11,1.93903285553308e-08,"20512"
-1.90323662818518,6.2185177492539,475.401083621141,3.01874861027084e-11,1.93903285553308e-08,"13631"
-3.29713462605859,4.95930009224075,462.094697533602,3.09635211740913e-11,1.93903285553308e-08,"26366"
-2.60465636758939,4.67269736798742,472.464214694045,3.13427735552037e-11,1.93903285553308e-08,"11416"
4.71870658483612,3.86753708169794,471.683985305316,3.19000596329158e-11,1.93903285553308e-08,"207521"
6.98591886104894,9.70760197709317,457.30012693357,3.81789841452317e-11,2.11263197720355e-08,"14219"
-2.03565964899635,7.11158164388946,455.747863834264,3.89513492424103e-11,2.11263197720355e-08,"27224"
-3.23340240212616,4.93207611987658,452.098105281399,4.08946713852166e-11,2.11263197720355e-08,"74051"
4.26637141611691,4.28691667818979,450.774010542552,4.16735325210128e-11,2.11263197720355e-08,"74127"
-6.82198311113197,0.505537272305807,330.558786089924,4.29149839458978e-11,2.11263197720355e-08,"244954"
-2.68416572658089,4.46226234119992,447.366873676584,4.36613454463543e-11,2.11263197720355e-08,"224022"
-4.7992805282818,7.91636257794923,449.220769854535,4.41134239734985e-11,2.11263197720355e-08,"12683"
2.34257166294174,5.85243795933415,434.196049912255,5.21705931572315e-11,2.41483318255031e-08,"22051"
-2.8471915386686,7.60174333625284,432.411879027428,5.34796009802967e-11,2.41483318255031e-08,"20440"
-3.91330297141808,2.89962799836796,418.996484059932,6.6056058905927e-11,2.89986098597019e-08,"70358"
-1.89045347608465,6.47247521637783,414.436137972731,6.90616566373132e-11,2.90998021579858e-08,"66885"
-2.49565692324539,4.87918182662697,413.541463755731,6.99691522401582e-11,2.90998021579858e-08,"110460"
-4.54711877911178,2.12486603839064,408.144498508032,7.72855698352893e-11,3.11356230831963e-08,"57776"
2.50267990653537,6.05100769880961,307.971212840961,7.88916165022199e-11,3.11356230831963e-08,"140474"
-3.40220878004262,5.93932923724255,402.922090465107,8.18221845681603e-11,3.11356230831963e-08,"13032"
-2.54717661044972,6.08948930328664,402.171348630026,8.27446323395498e-11,3.11356230831963e-08,"64291"
3.36839248598694,6.92023675941909,390.351441069439,9.90018281777889e-11,3.62766962092181e-08,"16790"
-2.55862830084359,4.35000556796897,388.59161056015,1.01745558102211e-10,3.62766962092181e-08,"213006"
-2.42369339852754,5.90715672085177,387.684272013699,1.03293554126475e-10,3.62766962092181e-08,"52150"
4.7978091364251,5.17113238510624,381.99249331821,1.128175658213e-10,3.81553317167986e-08,"56745"
-2.3907433397981,5.86116059047723,380.52586991018,1.15387539928514e-10,3.81553317167986e-08,"22781"
-3.04039937606857,7.46040401388237,380.253255594385,1.15885593672889e-10,3.81553317167986e-08,"12778"
2.2375173604828,6.50178971135927,376.370315309683,1.23245402465523e-10,3.97504151135741e-08,"71310"
-2.55532339249402,5.09646682927122,372.379572208249,1.31411110879937e-10,4.09352878328261e-08,"60525"
-2.58022693079883,4.0999090313873,372.059957313743,1.32099448207677e-10,4.09352878328261e-08,"224530"
-4.43466979393859,3.00757473973164,352.983607834396,1.36762118040756e-10,4.15651637214635e-08,"18405"
-2.36713969106823,4.89125568666125,363.986152333519,1.5100196505888e-10,4.50270765243498e-08,"56072"
-2.69198532255956,3.19892946019587,358.903473016153,1.64002960845634e-10,4.79981998741554e-08,"380714"
-3.50367403691688,5.12540248764212,356.665448036952,1.70168782561216e-10,4.88972261744993e-08,"30935"
-2.45525169105683,6.33510235242365,354.735450615393,1.75782489590195e-10,4.93700576034932e-08,"11886"
-4.10884012367402,6.66382533002159,353.601058678474,1.79190478015304e-10,4.93700576034932e-08,"231070"
-2.50484109040305,6.3859971535615,351.918774418273,1.84391018301162e-10,4.93700576034932e-08,"64297"
-2.18037500054788,5.10108931879188,351.667643960882,1.85182363852631e-10,4.93700576034932e-08,"192166"
-3.29735945206336,11.9914189416057,350.955685873848,1.87433779815843e-10,4.93700576034932e-08,"20249"
-4.13229353559901,5.17166510265656,348.966319741471,1.94001126456119e-10,5.02621934838116e-08,"19224"
-2.45290335163468,7.33405670908497,343.74796987514,2.12234363187988e-10,5.40992238035963e-08,"67041"
-2.08557227935764,5.97578388082611,342.498282154015,2.16914312007967e-10,5.44145045551414e-08,"56349"
3.0993570889464,7.25420406011142,339.385728295357,2.29106307405484e-10,5.65749387849416e-08,"17131"
3.51979023396113,6.69431205324858,335.41534251603,2.45816725480526e-10,5.97675004537575e-08,"26897"
-2.13196339366881,6.74477415982633,334.069052820628,2.51788196131276e-10,5.99214495032033e-08,"76574"
-6.05280306356178,4.78607459903338,337.971312841076,2.54032973722768e-10,5.99214495032033e-08,"12351"
-7.05750788879497,3.83414519569823,333.534819556804,2.60079627833775e-10,6.04455652688967e-08,"11815"
-3.88018837663393,5.01772172402814,327.828757728836,2.82208414379113e-10,6.330373529338e-08,"23794"
-1.93849802503992,5.91816749846033,327.367224088093,2.84220476610617e-10,6.330373529338e-08,"100710"
-3.67015313018246,3.52739305648027,327.365834336996,2.84394153747784e-10,6.330373529338e-08,"243362"
6.51474579074515,6.22864823036594,325.290949801568,2.95516843183173e-10,6.48659470787064e-08,"192199"
2.35000086314354,7.08105181445188,324.292120534914,3.00731739932623e-10,6.50031574104251e-08,"19270"
-4.79398120935319,3.58125920548243,323.856926161583,3.04368112400118e-10,6.50031574104251e-08,"100041678"
8.0531473302162,2.10479355850481,198.816519438436,3.1573645233143e-10,6.65319852352789e-08,"71874"
-2.67074147655794,3.484172200926,320.583656351232,3.22246659851201e-10,6.70103448985312e-08,"73166"
-2.26221427858546,6.84777082861112,318.306606879518,3.36156881176551e-10,6.89951084430418e-08,"66120"
-3.88292720186135,1.43305430643021,317.706993952044,3.63590056136521e-10,7.36689390664305e-08,"19419"
-4.87915842786415,2.23592152741046,314.472999538302,3.74991965165803e-10,7.50173799681057e-08,"18074"
-2.99558578400061,4.05483331834439,311.193649417843,3.84711112853603e-10,7.59996803442293e-08,"80290"
-1.82878926334319,7.09405438928906,308.120741374467,4.08095470699232e-10,7.9623960727539e-08,"66427"
-3.29907556277723,4.71719530433765,307.468928274726,4.14809567356998e-10,7.99469561281707e-08,"74413"
