"logFC","unshrunk.logFC","logCPM","PValue","FDR","GeneID"
-5.14873641951264,-5.15593724982794,2.7428718713897,6.65037360945948e-13,1.05102504523898e-08,"211577"
-6.08615548857591,-6.09491252490156,10.1826014140375,7.6060167606579e-11,6.01027444427187e-07,"12992"
7.17430282487699,7.33579837167373,6.05100769880961,1.58437622582874e-10,6.39905171758794e-07,"140474"
-5.75622201584597,-5.76125607530429,3.85732022466926,1.61960306696733e-10,6.39905171758794e-07,"21953"
4.53951477122052,4.54146321555416,5.53761169044886,6.97634419867015e-10,2.14841252967495e-06,"14621"
5.32030938802278,5.32362802827396,9.86675508583578,8.1564636661919e-10,2.14841252967495e-06,"12740"
2.80527055094987,2.8053840870818,6.67952984962733,1.08468046059483e-09,2.17297962572254e-06,"78896"
3.58033583964769,3.58101891085632,5.4977414809646,1.20925113805536e-09,2.17297962572254e-06,"14620"
1.82012692998493,1.82018253738152,6.76375635219789,1.2374599235322e-09,2.17297962572254e-06,"24117"
-2.32326801749961,-2.32353375646638,6.43967024857461,1.72214789947844e-09,2.72168254033573e-06,"226101"
-2.14460355901175,-2.144692819042,6.14410892986207,2.11201357517451e-09,3.03438750382345e-06,"381290"
-2.87018375189767,-2.87107312660286,3.67416217595962,3.19404223580442e-09,4.20655362455443e-06,"16012"
2.24984472130929,2.25013188785943,5.1816591809453,3.67609842904749e-09,4.46900458251282e-06,"231830"
-3.32648622724972,-3.33077956150795,1.80550013225194,4.10433091989335e-09,4.63320327557104e-06,"170761"
2.26512618501061,2.26745372102288,2.73247968669967,4.7585255307872e-09,5.0135824992374e-06,"14585"
-2.57509102032335,-2.57563687237854,4.86540757180702,5.92229956864382e-09,5.84975139892794e-06,"231991"
3.71302824136271,3.71367491987455,7.74524689111904,8.27612126595404e-09,7.69387179336104e-06,"16878"
-2.29986327224027,-2.29993157474902,9.61278255593414,1.31539187803056e-08,1.15491406891083e-05,"16669"
2.17130036601101,2.17141082991018,7.1536546908905,1.63347428514019e-08,1.35870671591345e-05,"74747"
3.30026268123539,3.30402859587923,4.47113444193855,1.78236328571995e-08,1.4084234683759e-05,"228413"
2.73090632347083,2.73114598707737,6.44706143647692,1.89185314040377e-08,1.42375462052101e-05,"11636"
-2.54464132633637,-2.54585754015645,3.73017534295812,2.32206608522182e-08,1.66808783685662e-05,"67111"
-3.4305425335476,-3.43282577543675,3.44112257319719,3.16123310214092e-08,2.17217947592327e-05,"21827"
3.40549517041818,3.40864048475696,3.26818376479266,4.48472319252751e-08,2.95319022227937e-05,"20319"
-1.51547416578714,-1.51553962530379,5.99916071894533,5.54320605482037e-08,3.50419313961525e-05,"55987"
2.8278146801045,2.82787979351881,8.16833343527878,5.96608095610716e-08,3.54563214267554e-05,"12977"
2.30122442432778,2.30139847395872,6.44446254294052,6.05745810252085e-08,3.54563214267554e-05,"217166"
1.75284587768315,1.7532623413799,3.94986236197058,7.02018184632201e-08,3.96239121068832e-05,"50786"
1.96583216878376,1.96591672841092,7.25420406011142,8.29888734876745e-08,4.37922779827668e-05,"17131"
3.49085903550842,3.49349086054071,8.24243423230466,8.31288496256014e-08,4.37922779827668e-05,"26365"
