"logFC","unshrunk.logFC","logCPM","PValue","FDR","GeneID"
-5.3601503595299,-5.36401276198738,3.66960505242474,1.78119815759611e-13,1.30798154328074e-09,"13645"
-8.55392279343554,-8.5543479690585,10.1826014140375,2.30581457190757e-13,1.30798154328074e-09,"12992"
-7.37251644302234,-7.37471905458333,6.59819632953198,2.48288068200596e-13,1.30798154328074e-09,"11941"
-6.2566305877165,-6.2617563703312,4.20531450442272,7.22945470830189e-13,2.85635755525008e-09,"69219"
-4.13063697050628,-4.13077629465668,7.49233753337556,1.1437515775404e-12,3.61516998628969e-09,"13358"
5.38811155778676,5.38971380834351,6.81899096869158,1.91181719699716e-12,5.03572649689051e-09,"19659"
-4.84619642437531,-4.84984266825971,3.15852517048681,2.8599356533128e-12,6.45691758070793e-09,"83492"
-6.50671433403926,-6.51103905819306,5.06662359231484,3.92321649824906e-12,7.75031419229102e-09,"67547"
-6.0368138203066,-6.04848288221544,2.63047065928194,8.40335789948935e-12,1.47562964715033e-08,"14618"
4.34313745363053,4.3448047925484,4.27095920369911,1.17036514209998e-11,1.84964507057481e-08,"72027"
-2.85852155159458,-2.85860559868008,7.20697023238967,1.38138686464311e-11,1.98467618261997e-08,"68801"
-3.53835197096886,-3.5392873288304,5.66789020928503,1.77555719165037e-11,2.18467081380994e-08,"12705"
3.71563771216478,3.71709606540116,4.67273868901667,1.91821163662649e-11,2.18467081380994e-08,"217294"
-6.82629029435648,-6.89085980992795,0.944885809243854,2.05808514011277e-11,2.18467081380994e-08,"544998"
-4.31847674746964,-4.31876264395198,6.57467464108839,2.07352962586365e-11,2.18467081380994e-08,"100705"
3.61306946506987,3.61334115141849,6.95876024897353,2.24924662505901e-11,2.22169335390204e-08,"19041"
-3.01798876904837,-3.01834098718753,6.37388542457864,2.99732361799276e-11,2.64122381672847e-08,"14598"
-4.18459318373148,-4.18468634215458,7.99782398513873,3.00822758169529e-11,2.64122381672847e-08,"20531"
-3.20287172393223,-3.20319005112433,5.20797576012386,3.4966625823658e-11,2.90848712903732e-08,"230810"
-2.6783930415105,-2.67868617160949,5.29631373872998,3.88149840730592e-11,3.06716004145314e-08,"68603"
6.98591886104894,6.98789536410856,9.70760197709317,4.50693964643107e-11,3.39179400819984e-08,"14219"
-3.18106291436711,-3.1813772526804,5.70362459664331,5.05609348053626e-11,3.5266501867798e-08,"170439"
-4.14846772711884,-4.15199445489571,3.64506225323941,5.13243193469598e-11,3.5266501867798e-08,"20512"
4.71870658483612,4.7255019678206,3.86753708169794,5.65058049210503e-11,3.72090725405116e-08,"207521"
-4.7992805282818,-4.79943080149538,7.91636257794923,5.99601516065526e-11,3.79044094395983e-08,"12683"
-3.29713462605859,-3.29754587377899,4.95930009224075,6.75030003731405e-11,4.1031439149889e-08,"26366"
-6.82198311113197,-6.90225152459674,0.505537272305807,7.14266375133424e-11,4.18083918244764e-08,"244954"
4.26637141611691,4.26945782418864,4.28691667818979,7.55854753651311e-11,4.26626018810904e-08,"74127"
-3.23340240212616,-3.23495063832679,4.93207611987658,9.9597036185607e-11,5.42769503405977e-08,"74051"
-2.60465636758939,-2.60512859119837,4.67269736798742,1.11686018911015e-10,5.88361947623227e-08,"11416"
-3.91330297141808,-3.91591501063973,2.89962799836796,1.24820018497812e-10,6.36340507206264e-08,"70358"
-4.54711877911178,-4.55312141105514,2.12486603839064,1.31979344304912e-10,6.51812986685883e-08,"57776"
-2.68416572658089,-2.68458908508384,4.46226234119992,1.43058073429955e-10,6.74304451914859e-08,"224022"
-2.8471915386686,-2.84724360622732,7.60174333625284,1.45066763889555e-10,6.74304451914859e-08,"20440"
-3.40220878004262,-3.40252284367716,5.93932923724255,1.65392684000591e-10,7.46818850841528e-08,"13032"
4.7978091364251,4.79965773945999,5.17113238510624,1.70514499727736e-10,7.48558653804761e-08,"56745"
3.36839248598694,3.36868864615211,6.92023675941909,2.05681822140148e-10,8.78539328946729e-08,"16790"
-4.43466979393859,-4.43787216440036,3.00757473973164,2.28778327959733e-10,9.51477025019901e-08,"18405"
2.34257166294174,2.34302317884707,5.85243795933415,2.54495553573093e-10,1.03129428940235e-07,"22051"
-2.49565692324539,-2.4960158651372,4.87918182662697,2.72798672748034e-10,1.04070714574874e-07,"110460"
-2.03565964899635,-2.03571511888926,7.11158164388946,2.80853792149128e-10,1.04070714574874e-07,"27224"
-4.10884012367402,-4.10910394943437,6.66382533002159,2.81128677483507e-10,1.04070714574874e-07,"231070"
-1.90323662818518,-1.90334412090796,6.2185177492539,2.90511625968935e-10,1.04070714574874e-07,"13631"
-2.54717661044972,-2.54733103317477,6.08948930328664,2.95615130777947e-10,1.04070714574874e-07,"64291"
-3.04039937606857,-3.0411209373051,7.46040401388237,2.9632891393757e-10,1.04070714574874e-07,"12778"
-4.13229353559901,-4.13297983310079,5.17166510265656,3.11494915436726e-10,1.07018818338305e-07,"19224"
-6.05280306356178,-6.05580330082739,4.78607459903338,3.20719320502735e-10,1.07843577472877e-07,"12351"
-7.05750788879497,-7.07480438389543,3.83414519569823,3.3788211845613e-10,1.09167111559524e-07,"11815"
-3.50367403691688,-3.50435082680375,5.12540248764212,3.38470543306549e-10,1.09167111559524e-07,"30935"
6.51474579074515,6.51683785382956,6.22864823036594,3.60398788123047e-10,1.12485735450839e-07,"192199"
2.50267990653537,2.50282045576245,6.05100769880961,3.62994970133686e-10,1.12485735450839e-07,"140474"
-2.55862830084359,-2.55917103809105,4.35000556796897,3.78272309981213e-10,1.13793650057101e-07,"213006"
-3.29735945206336,-3.29736266506311,11.9914189416057,3.81616265061148e-10,1.13793650057101e-07,"20249"
-2.42369339852754,-2.42380589832952,5.90715672085177,4.18033285520446e-10,1.22344408228984e-07,"52150"
3.51979023396113,3.5199876405758,6.69431205324858,4.68073988161991e-10,1.32874910342334e-07,"26897"
-2.55532339249402,-2.55558094867322,5.09646682927122,4.70829851883745e-10,1.32874910342334e-07,"60525"
-2.58022693079883,-2.58087253714691,4.0999090313873,4.84505083104411e-10,1.33619103685343e-07,"224530"
-3.88018837663393,-3.88098281593216,5.01772172402814,4.9037636128511e-10,1.33619103685343e-07,"23794"
-4.79398120935319,-4.80263178283189,3.58125920548243,5.06680163526661e-10,1.35721581430091e-07,"100041678"
-2.3907433397981,-2.39135913821609,5.86116059047723,5.20962825389246e-10,1.37221608207527e-07,"22781"
3.0993570889464,3.09984579282442,7.25420406011142,5.6176239067678e-10,1.43054792077513e-07,"17131"
-2.69198532255956,-2.69328837646021,3.19892946019587,5.69707669634073e-10,1.43054792077513e-07,"380714"
-3.67015313018246,-3.67219920608693,3.52739305648027,5.7026397752995e-10,1.43054792077513e-07,"243362"
8.0531473302162,8.244436940785,2.10479355850481,5.93364230061562e-10,1.46523879560827e-07,"71874"
2.2375173604828,2.23774842567323,6.50178971135927,6.57432808814889e-10,1.55038336550706e-07,"71310"
-4.87915842786415,-4.90045398005244,2.23592152741046,6.60894547266676e-10,1.55038336550706e-07,"18074"
-2.36713969106823,-2.3673681823821,4.89125568666125,6.63983414895588e-10,1.55038336550706e-07,"56072"
-1.89045347608465,-1.89053993013412,6.47247521637783,6.71024254101039e-10,1.55038336550706e-07,"66885"
-2.50484109040305,-2.50502458403559,6.3859971535615,6.85360320787841e-10,1.55038336550706e-07,"64297"
-2.45525169105683,-2.45540505581337,6.33510235242365,6.86704856906441e-10,1.55038336550706e-07,"11886"
-3.88292720186135,-3.88877439338427,1.43305430643021,7.3826448822062e-10,1.6433143622308e-07,"19419"
-2.45290335163468,-2.45298442259439,7.33405670908497,8.18510581172925e-10,1.77293015245396e-07,"67041"
-6.46656969052402,-6.48700900332397,4.24366667058186,8.18931290364081e-10,1.77293015245396e-07,"19227"
-9.35239920407118,-9.41743365971588,3.9706416557035,8.42221320097815e-10,1.79871158686836e-07,"18546"
-3.29907556277723,-3.29956886970935,4.71719530433765,8.86577575431559e-10,1.85339758925486e-07,"74413"
-3.54462182943648,-3.54505993439305,7.86888803335192,8.91282060132684e-10,1.85339758925486e-07,"24059"
-8.07156943051691,-8.37027721257781,0.184005957064785,9.55547085990662e-10,1.96122936973979e-07,"21960"
-2.99558578400061,-2.99697185280459,4.05483331834439,1.0525382281689e-09,2.13260437922837e-07,"80290"
-2.18037500054788,-2.18073229268326,5.10108931879188,1.07364645921419e-09,2.14783653688873e-07,"192166"
-2.67074147655794,-2.67170966961481,3.484172200926,1.10459500557108e-09,2.18212743350566e-07,"73166"
-2.81574724995868,-2.81637014800138,3.94119168962531,1.323058852163e-09,2.52350418996497e-07,"72685"
4.360321485943,4.36237620960491,6.31683559027093,1.32660690770993e-09,2.52350418996497e-07,"13078"
-4.59487001861355,-4.59502975669009,7.98441092746932,1.33100212022075e-09,2.52350418996497e-07,"20250"
-5.18801694856467,-5.19031948748932,4.26080826876971,1.34127026042178e-09,2.52350418996497e-07,"100034251"
2.35000086314354,2.35052471872487,7.08105181445188,1.43363662217715e-09,2.65754967908882e-07,"19270"
-2.08557227935764,-2.08584340310366,5.97578388082611,1.44614826880308e-09,2.65754967908882e-07,"56349"
3.09944501845418,3.10060702184811,6.44412623345994,1.46342774284638e-09,2.65839218941887e-07,"216858"
-2.13196339366881,-2.13209274778692,6.74477415982633,1.50939179569277e-09,2.70505929710589e-07,"76574"
-2.86244218203655,-2.86296945373289,4.0861293724278,1.52734060396383e-09,2.70505929710589e-07,"17341"
2.82152757036665,2.82213954889527,5.43547124363284,1.54046657010586e-09,2.70505929710589e-07,"214791"
-2.26221427858546,-2.26226936565215,6.84777082861112,1.6237451072306e-09,2.81996348073323e-07,"66120"
-2.8634525068896,-2.86431328546954,4.34632728181721,1.69442498765948e-09,2.91072744619244e-07,"97998"
-4.9335133036232,-4.9580887498313,0.634966097925805,1.71351501469085e-09,2.91187003141658e-07,"18406"
-3.6174931304105,-3.62348060484299,2.02717274800636,1.74228112993869e-09,2.92925648697352e-07,"68312"
-3.4695414773361,-3.47002734678607,4.86279484176904,1.76173296845933e-09,2.93078187721382e-07,"76113"
3.71183379712222,3.7172420923051,6.43546080494558,1.95420596699283e-09,3.21711157316194e-07,"209683"
4.07095082905854,4.07835858147173,2.18779346120347,2.09850893292772e-09,3.41905517278244e-07,"69480"
-3.20310028917784,-3.20600770998128,2.18118868671173,2.33577266168776e-09,3.76679093319523e-07,"93734"
2.39865397344896,2.39955804042592,4.21561513218988,2.36384497964128e-09,3.77355616750007e-07,"71893"
-1.93849802503992,-1.9386771058705,5.91816749846033,2.45748086827563e-09,3.88380276422281e-07,"100710"
-2.17613847923567,-2.17633835281765,5.15937680781453,2.57251971028395e-09,4.02535658428986e-07,"224617"
3.27969228415534,3.28141253359137,5.27397495988531,2.61317937939554e-09,4.04521040262309e-07,"72640"
-3.2804722310011,-3.28148333240356,3.48493142249873,2.63640009788774e-09,4.04521040262309e-07,"13491"
-3.05771380070152,-3.05827437532057,5.47940006263943,2.66595211611858e-09,4.05122185030173e-07,"110454"
3.51841822180524,3.52486586054321,3.98474705741567,2.70505150086631e-09,4.05165947033023e-07,"56437"
3.82111517858589,3.82400316172954,4.94282675482952,2.76616989094365e-09,4.05165947033023e-07,"68545"
-3.30224836959946,-3.30768043903472,2.26580472838176,2.7779495086693e-09,4.05165947033023e-07,"73635"
-3.38858818955759,-3.39090486029472,5.87408192354008,2.81539137381231e-09,4.05165947033023e-07,"104156"
-3.15959610607299,-3.16381580536616,4.98386211580894,2.81865380617002e-09,4.05165947033023e-07,"19012"
2.38906702581009,2.38917166002334,7.69991803952294,2.82599430643498e-09,4.05165947033023e-07,"20677"
-2.08546379834032,-2.08572119140489,6.85433565423529,2.84569856496238e-09,4.05165947033023e-07,"18030"
3.44553866119462,3.4461578753208,5.90842304066976,2.92646615920905e-09,4.12945278394105e-07,"620695"
-5.25009051400099,-5.26122922715785,1.82367973646699,3.00663868857098e-09,4.20503697647574e-07,"14133"
4.25165707367966,4.2550664267216,6.189547340088,3.04888256311996e-09,4.20684758194685e-07,"329252"
-2.32754560261867,-2.32768593695048,5.63453005779727,3.06117104482338e-09,4.20684758194685e-07,"209588"
-2.45467296563826,-2.45468147239158,9.87208536039722,3.24594454406874e-09,4.36857757319598e-07,"104112"
-4.19000646495453,-4.19346424409386,2.9490125749568,3.25024496509203e-09,4.36857757319598e-07,"107747"
-3.17836373042989,-3.17928392477165,3.65249426760783,3.26178279952623e-09,4.36857757319598e-07,"16168"
2.72687241766193,2.72756660424328,5.60842632845125,3.31624804539693e-09,4.4042003453322e-07,"14063"
2.25632018341723,2.25655178810169,5.62706699862868,3.51316372663126e-09,4.62683662797337e-07,"21808"
-2.54931992903209,-2.55043772439663,3.14234815560784,3.63514078040321e-09,4.74791445400764e-07,"14711"
-4.34916599483109,-4.35603576766832,2.31838223498336,3.8747545934166e-09,4.98638664477734e-07,"14676"
3.42211150397803,3.42230341344338,7.36156863061146,3.88082483743111e-09,4.98638664477734e-07,"21664"
-1.88598625602638,-1.88600387319791,8.16273900231303,4.07747719139084e-09,5.19681044618877e-07,"14667"
2.79875658056848,2.7991894491683,6.38060203256443,4.1440085188187e-09,5.21816671226067e-07,"80281"
2.09948891415086,2.09965403922024,7.47990988654874,4.16026958836272e-09,5.21816671226067e-07,"13875"
-1.82878926334319,-1.82883412935966,7.09405438928906,4.36041716548212e-09,5.42614432151807e-07,"66427"
-2.59709988312969,-2.59723531603276,6.01040589487548,4.74730244040875e-09,5.83345210664161e-07,"108079"
-1.88272399113035,-1.88278003231729,6.73796146144329,4.76154974536047e-09,5.83345210664161e-07,"53381"
