theoretical,observed
-1.539927501645914,-1.9750980575124009
-1.5391303205405187,-1.9729049445200815
-1.5383341163505608,-1.9723056442755091
-1.5375388861811115,-1.9710856320530987
-1.5367446271503156,-1.9688786708730999
-1.5359513363893136,-1.9678032499443292
-1.5351590110421591,-1.9676444885212814
-1.534367648265744,-1.962345082103184
-1.5335772452297187,-1.9617713372766705
-1.5327877991164167,-1.961180786380533
-1.5319993071207767,-1.9608659317589405
-1.5312117664502662,-1.9591340161717996
-1.5304251743248078,-1.957472001794669
-1.5296395279767039,-1.9566503705386549
-1.5288548246505607,-1.9545181998040724
-1.5280710616032165,-1.9544658837832327
-1.5272882361036684,-1.953886167593686
-1.5265063454329975,-1.9538306857821355
-1.5257253868843008,-1.9512902250386726
-1.5249453577626166,-1.9506363960765332
-1.524166255384854,-1.950497073565303
-1.523388077079722,-1.9483794545041433
-1.522610820187663,-1.9481414691090555
-1.5218344820607774,-1.945576638060757
-1.5210590600627611,-1.9452386800353318
-1.5202845515688332,-1.9449504843177237
-1.5195109539656673,-1.9441894778253637
-1.5187382646513292,-1.9429844541497818
-1.517966481035204,-1.942756042040734
-1.517195600537933,-1.93975044916868
-1.5164256205913489,-1.9386791002800285
-1.5156565386384073,-1.9384575311258516
-1.5148883521331233,-1.9378899189916072
-1.5141210585405078,-1.9372131717751357
-1.5133546553365016,-1.9361722032620439
-1.512589140007914,-1.9359227805642658
-1.5118245100523584,-1.9357547668390382
-1.5110607629781905,-1.9350442841463145
-1.5102978963044453,-1.9345593144306434
-1.509535907560776,-1.933976644906934
-1.5087747942873937,-1.9329153811320077
-1.5080145540350036,-1.932529695364597
-1.5072551843647481,-1.9307042097565048
-1.5064966828481459,-1.9294378195844408
-1.50573904706703,-1.9285060466537753
-1.5049822746134933,-1.928368433312917
-1.5042263630898256,-1.9270787388961197
-1.503471310108457,-1.9255815871073787
-1.5027171132919022,-1.9245065137284296
-1.5019637702726993,-1.9208405801131632
-1.5012112786933556,-1.9208221650508954
-1.5004596362062905,-1.919361307823458
-1.499708840473779,-1.9187212505932505
-1.4989588891678949,-1.9180846305146153
-1.4982097799704572,-1.917955162337264
-1.4974615105729754,-1.9174570062129803
-1.4967140786765931,-1.9174220221973448
-1.4959674819920343,-1.9161143426624774
-1.4952217182395517,-1.916066900229913
-1.4944767851488696,-1.9158007084409574
-1.493732680459133,-1.9151219617553112
-1.4929894019188574,-1.9146241234920307
-1.4922469472858704,-1.914133124107577
-1.491505314327266,-1.9139634045586837
-1.4907645008193477,-1.913771513283464
-1.490024504547582,-1.9137561805886778
-1.489285323306544,-1.9136438501442878
-1.4885469548998687,-1.913042003352094
-1.4878093971402009,-1.9109709088616762
-1.4870726478491447,-1.905704556202976
-1.486336704857213,-1.905586636110493
-1.4856015660037813,-1.9051327133297722
-1.4848672291370362,-1.9051252474149485
-1.4841336921139292,-1.9042684197809412
-1.4834009528001266,-1.903146088162198
-1.4826690090699617,-1.9030883507731564
-1.4819378588063898,-1.900111153909119
-1.481207499900939,-1.897913528191819
-1.4804779302536635,-1.8977084501601176
-1.4797491477730982,-1.897075674628614
-1.4790211503762103,-1.8956476149376744
-1.478293935988357,-1.8929202499425584
-1.4775675025432378,-1.889586898762265
-1.4768418479828482,-1.8878068951750986
-1.4761169702574375,-1.8863294452282893
-1.4753928673254613,-1.8856007047782304
-1.47466953715354,-1.8851739682840782
-1.4739469777164134,-1.8850461185922112
-1.4732251869968958,-1.881698965210992
