,gene,logFC,SE,z,PValue,FDR
1847,XLOC_006128,0.2048872591394916,0.0316579473897262,6.471905983581951,9.677433304859258e-11,4.1842802251885214e-08
1121,XLOC_003652,0.2835399695651972,0.04389602032226626,6.459354799901337,1.0515032152944422e-10,4.364579546044171e-08
4000,XLOC_013534,0.8800847799631086,0.13669072763430837,6.43851119380693,1.206510644173359e-10,4.8153695979180563e-08
8491,XLOC_038654,0.32548125760905006,0.05073651788847587,6.415128021290141,1.4070457060683852e-10,5.4077456636561606e-08
7521,XLOC_034887,0.46102376933493927,0.07276224367779559,6.336030144650791,2.3576068118221134e-10,8.737459245099311e-08
4200,XLOC_014301,-0.22471877117460107,0.03549716665124538,-6.330611493092705,2.441914926719861e-10,8.737845239507585e-08
5707,XLOC_025064,0.3026572986090958,0.048273022812737446,6.269698497713216,3.6174787246691877e-10,1.251285890863072e-07
5661,XLOC_024395,0.5108053294100271,0.08157484776386695,6.261799358653355,3.8056039818356855e-10,1.273893839152623e-07
3215,XLOC_010635,0.4126159210223656,0.06595074455393145,6.256425515938604,3.9390109681861187e-10,1.273893839152623e-07
8705,XLOC_039436,0.8412276583546473,0.13455239660017443,6.25204514828803,4.051122356368561e-10,1.273893839152623e-07
5042,XLOC_018617,0.9225033016414552,0.14827265124381225,6.221668621305868,4.91895114165391e-10,1.49619074732264e-07
2026,XLOC_006599,0.43108905079152704,0.06933306816519431,6.217654319932963,5.046417669489486e-10,1.49619074732264e-07
3785,XLOC_012731,0.3998609521343072,0.06470767990193618,6.179497591944146,6.43059149768094e-10,1.853617999206531e-07
6372,XLOC_030763,0.5261654960144422,0.08675363041115645,6.065054494212586,1.3190891953732796e-09,3.699510427132033e-07
6405,XLOC_030758,0.2932290318555422,0.049387960928537464,5.937257306083839,2.898296171620162e-09,7.914636677079585e-07
81,XLOC_000281,0.20553162755416698,0.03473813975353234,5.916598557447727,3.286675623676242e-09,8.745085370997016e-07
9437,XLOC_042393,1.729404840188931,0.2950499244832417,5.861397332054421,4.589882285761816e-09,1.1907302119837592e-06
7166,XLOC_033778,0.5119381809707655,0.08759971239568834,5.844062348724824,5.094294663910316e-09,1.2893535543267647e-06
3318,XLOC_011041,0.304043685371285,0.05210365944496298,5.835361443133297,5.367408447244924e-09,1.3107739230260638e-06
2390,XLOC_007807,0.6627998926193016,0.1136219241820442,5.833380286337772,5.431558127601498e-09,1.3107739230260638e-06
6956,XLOC_033056,0.4412927874462259,0.07574802443921679,5.825799295931958,5.6839893318199115e-09,1.3405172112794368e-06
4410,XLOC_015223,0.6113752013613795,0.10595450064219204,5.770167361044825,7.919284183655221e-09,1.826186932750894e-06
6153,XLOC_029922,0.27027017369429224,0.04699905815509224,5.750544464155588,8.89565038274253e-09,2.006742696124331e-06
6538,XLOC_031326,0.21814622747586523,0.038200803203965995,5.710514156236834,1.1263536734820453e-08,2.4868451212176986e-06
7929,XLOC_036708,0.4018640864789074,0.07049879844309197,5.700296960426923,1.195989034352131e-08,2.585578793640013e-06
